name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
Jatra Flagship Khulna City Centre,Khulna,3756,4,Wonderful,242,9,8.9,9.5,9.4,8.9,8.8,
Jatra Flagship Rajshahi City Centre,Rajshahi,2485,4,Very Good,223,8.4,8.8,8.8,8.5,8.5,,
Hotel Khan Palace,Kuakata,4984,3,Good,79,7.8,8.6,8.5,8.1,8.1,8.1,
The Grand Hotel BD,Sylhet,1196,3,Good,930,7.5,8.4,7.7,7.8,7.6,7.9,8.8
Tiger Garden Int Hotel,Khulna,4208,3,None,89,6.1,7,6.8,6.3,8.2,7.7,
Hotel Noorjahan Grand,Sylhet,4128,4,Good,965,7.8,,8.6,8.1,8.1,8.1,8.1
Tea Heaven Resort,Sylhet,2769,3,None,17,5.5,6.5,6.6,6.5,7.8,,
Hotel Omni Residency Dhaka,Dhaka,8880,4,Very Good,265,8.3,,8.9,8.4,8.8,8.8,8.2
Little Rangpur Inn,Rangpur,3322,0,Good,110,7.6,7.9,8.3,8.3,7.8,8.2,9.2
Hotel Bonolota international,Rajshahi,941,2,None,90,5.4,6,5.9,7.1,,,
Nascent Gardenia Residence,Dhaka,4568,4,Very Good,151,8.3,,9.1,8.2,8.6,8.6,8.7
Rose Garden Guest House,Khulna,1495,0,None,41,6.3,7.1,7.1,7.8,,,
Brisa Marina CBC Resort ব্রিসা মেরিনা সিবিসি রিসোর্ট,Chittagong,6866,2,Excellent,11,8.6,9.5,9.8,9,9.8,10,
Sawpnorajjo Park & Resort,Kuakata,1661,1,None,29,6.1,6,6.3,6.2,6,,
Hotel 71,Dhaka,3502,3,Good,1417,7.8,,8.4,8,8.3,8.3,7.8
Royal Raj Hotel,Rajshahi,5980,4,Excellent,31,8.6,8.5,9.2,9,7.7,8.6,7.5
Ripon,Khulna,199,0,Good,17,7,6.6,,,,,
Hotel Pushpo Bilash,Khulna,2871,3,None,20,6.4,7.4,6.8,7.6,,,
Hotel Shuktara Dhaka,Dhaka,3773,3,Very Good,609,8.2,,8.8,8.2,8.6,8.5,8
Hotel The Enchanted,Dhaka,5532,0,Good,302,7,6.9,7.2,7.2,7.1,8.5,6.9
Iqbal Manjil Serviced Apartment,Jessore,3987,4,Good,29,7.3,7,8.1,7.3,8.3,7,
Hotel Grand Park Barishal,Barishal,6693,3,Very Good,48,8,8.8,7.9,8.8,8.5,7,8.6
Hotel Afford Inn,Dhaka,3634,3,Good,376,7.3,,8.3,7.3,7.5,7.4,7.5
Bono Nibash Hill Resort,Bandarban,3101,3,None,13,5.4,5.6,6,5.2,7.9,,
Annex Suites Bogra - CityCentre,Bogra,3101,3,None,37,6.5,6.4,7.2,6.8,8.5,8.5,
Hotel Shah Nibash Panthapath,Dhaka,1894,2,None,11,6.7,6.8,7,6.1,8.4,,
Hotel Al-Sarwar (Res.),Dhaka,1357,2,None,28,4.4,5,4.9,5.3,5.2,6.6,4.2
"Hotel Skypark, Sylhet",Sylhet,1772,3,None,41,6.6,6.6,6.9,6.8,8.7,5.8,
Grand Sultan Tea Resort & Golf,Sylhet,16059,0,Very Good,16,8.1,9.2,8.8,7.2,8.6,10,
Jatra Sonargaon Royal Resort,Dhaka,8648,0,None,12,6.4,6,6.9,,,,
HOTEL MOHSIN PLAZA,Sylhet,1550,0,None,22,5.7,5.8,6.5,8.4,10,,
Hotel Ali Plaza,Sylhet,1661,3,Good,26,7.2,7.7,8.2,7.9,8.1,6.3,
Hotel Star International,Rajshahi,2377,3,None,52,5,6.1,6,5.4,6.2,5.8,
Hotel Sarina,Dhaka,17946,5,Good,401,7.6,,8.4,7.8,8.1,8.2,7.6
Best Western PLUS Maya - Luxury Collection Hotel,Dhaka,9987,4,Very Good,294,8.3,,8.9,8.4,8.9,9,8.1
THE ASTERIA HOTEL BOGURA,Bogra,2658,2,None,12,5.9,6.6,6.8,6.4,8.2,5,
Le Meridien Dhaka,Dhaka,33889,5,Good,75,7.8,,8.3,8.1,8.4,8.6,6.5
Nascent Gardenia Baridhara,Dhaka,6101,4,Very Good,27,8.2,8.2,8.3,8.2,8.3,9.1,7.5
Renaissance Dhaka Gulshan Hotel,Dhaka,17609,5,Very Good,102,8,,8.7,8.7,8.9,9.1,7.1
Six Seasons Hotel,Dhaka,17055,5,Good,135,7.9,8.4,8,8.3,8.4,7.4,8.4
HOTEL STUDiO23,Dhaka,3912,3,Very Good,17,8.5,9,8.7,8.7,7.4,,
Best Western Plus Maple Leaf,Dhaka,12182,4,Good,346,7.9,8.1,8.4,8.4,7.5,8.6,8.2
INNOTEL BATON ROUGE - A Luxury Collection Hotel,Dhaka,3789,4,Good,314,7.2,7.4,7.7,7.6,7.5,8.7,7.3
Restinn Hotel,Sylhet,2193,3,None,13,6.9,7.3,6.9,6.3,9,2.5,
Nirvana Inn,Sylhet,4784,4,Good,126,7.5,8.1,8.1,7.6,8.7,6,
Hotel Prince,Rangamati,1661,0,None,24,5.8,7.8,,,,,
"Hotel Park Inn, Khulna",Khulna,1329,1,None,16,6.4,6.1,6.6,8.2,,,
The Peninsula Chittagong Limited,Chittagong,7420,4,Good,211,7.7,,8.4,8.1,8.4,8.4,7.5
Sky City Hotel Dhaka,Dhaka,6214,4,Very Good,230,8.1,,8.8,8.3,8.6,8.6,8.1
Tourist Home,Dhaka,1772,0,Good,17,7.9,7.6,8.5,,,,
Cha luxury Hotel & Restaurant,Sylhet,3000,3,None,34,5.9,6.5,6.5,8.2,,,
Hotel Heaven Inn,Dhaka,2990,0,Good,101,7.4,,8.3,7.3,7.7,7.6,7.4
Coventina Lake Suites,Dhaka,5316,0,Very Good,177,8,,8.6,8,8.6,8.6,8
Richmond Hotel Sylhet,Sylhet,2273,3,None,180,6.2,6.7,6.8,6.5,8,5.7,
Jungle cottage,Sylhet,3544,0,None,28,6.8,7,7,8.4,5.8,,
Hotel Bengal Inn,Dhaka,7199,4,Good,17,7.6,9.6,8.1,8.2,8.4,7.9,8.4
Priyo Nibash Stylish Residential Hotel,Dhaka,3765,4,Good,263,7.9,8.1,8.3,8.4,7.8,7.8,8.2
Hotel D-Palace,Dhaka,4430,3,Good,12,7.5,8.1,6.7,7.9,,,
Seagull Hotel Ltd,Cox's Bazar,5316,5,None,175,6,,7.4,6.5,6.7,6.7,6.2
Radisson Blu Chattogram Bay View,Chittagong,14951,5,Good,270,7.9,8.2,8.1,8.5,8.5,7.4,8.7
Central Inn Dhaka City Centre,Dhaka,2879,3,Good,162,7.6,7.8,7.9,8,7.9,8.6,7.3
Amari Dhaka,Dhaka,21042,5,Good,120,7.9,,8.6,8.1,8.4,8.5,7
Hotel Farmis Garden,Sylhet,1595,3,Good,131,7.4,7.9,7.9,7.8,8.8,,
Hotel Valley Garden,Sylhet,3738,3,Good,122,7.3,8.3,7.7,8,8,7.6,8.2
Rezala Residence,Dhaka,1709,0,None,32,4.9,5.5,6.3,6.7,5.9,7.1,6.9
Grand Selim Resort & Tour – GSRT,Sylhet,2691,3,None,85,5.6,5.9,6.3,6.5,6.3,6.4,6.1
Pearl Hotel,Dhaka,10632,4,Very Good,31,8.5,8.6,9,9.2,8.3,8.7,7.5
After Hours Residence,Dhaka,5791,4,Good,54,7.9,8.8,8.3,8.8,8.7,8,8.8
Lakeshore Hotel & Apartments,Dhaka,16147,5,Very Good,53,8.2,9,8.2,8.7,8.4,7.8,8.9
"Holiday Inn Dhaka City Centre, an IHG Hotel",Dhaka,11739,5,Very Good,270,8.4,,8.9,8.9,9.2,9.2,8
Hotel Plaza,Bandarban,1772,0,None,17,5.5,5.2,7,8.8,,,
The Zabeer Dhaka,Dhaka,7460,3,Good,26,7.8,8.7,8.8,8.1,8.8,,
Maya Eco Apartment Service,Dhaka,3489,0,Good,48,7.5,7.8,8.3,8.8,5,,
Hotel Grand Circle Inn,Dhaka,3655,3,Good,322,7.5,,8.5,8,8.1,8.2,8
