name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
Jatra Flagship Khulna City Centre,Khulna,"BDT 3,756",4,Wonderful,242,9,8.9,9.5,9.4,8.9,8.8,-1
Jatra Flagship Rajshahi City Centre,Rājshāhi,"BDT 2,485",4,Very Good,223,8.4,8.8,8.8,8.5,8.5,-1,-1
Hotel Khan Palace,Kuākāta,"BDT 4,984",3,Good,79,7.8,8.6,8.5,8.1,8.1,8.1,-1
Hotel Orchid Blue,Ināni,"BDT 2,547",3,Good,8,7.7,7.9,8.2,8.6,-1,-1,-1
The Grand Hotel BD,Sylhet,"BDT 1,196",3,Good,930,7.5,8.4,7.7,7.8,7.6,7.9,8.8
Tiger Garden Int Hotel,Khulna,"BDT 4,208",3,Review score,89,6.1,7,6.8,6.3,8.2,7.7,-1
Hotel Noorjahan Grand,Sylhet,"BDT 4,128",4,Good,965,7.8,-1,8.6,8.1,8.1,8.1,8.1
DESHA TARC,Kushtia,"BDT 3,987",4,Review score,6,6.3,8.3,5.4,7.9,-1,-1,-1
Tea Heaven Resort,Sreemangal,"BDT 2,769",3,Review score,17,5.5,6.5,6.6,6.5,7.8,-1,-1
Hotel Grand Brahmaputra Chilmari,Chilmāri,"BDT 1,661",5,Review score,0,0,-1,-1,-1,-1,-1,-1
"Aduri Kunjo Resort, Gazipur",Sonātala,"BDT 3,876",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Omni Residency Dhaka,"Gulshan, Dhaka","BDT 8,880",4,Very Good,265,8.3,-1,8.9,8.4,8.8,8.8,8.2
Little Rangpur Inn,Rangpur,"BDT 3,322",0,Good,110,7.6,7.9,8.3,8.3,7.8,8.2,9.2
Hotel Bonolota international,Rājshāhi,BDT 941,2,Review score,90,5.4,6,5.9,7.1,-1,-1,-1
Nascent Gardenia Residence,Dhaka,"BDT 4,568",4,Very Good,151,8.3,-1,9.1,8.2,8.6,8.6,8.7
Rose Garden Guest House,Khulna,"BDT 1,495",0,Review score,41,6.3,7.1,7.1,7.8,-1,-1,-1
Brisa Marina CBC Resort ব্রিসা মেরিনা সিবিসি রিসোর্ট,Patenga,"BDT 6,866",2,Excellent,11,8.6,9.5,9.8,9,9.8,10,-1
Sawpnorajjo Park & Resort,Kuākāta,"BDT 1,661",1,Review score,29,6.1,6,6.3,6.2,6,-1,-1
Hotel 71,Dhaka,"BDT 3,502",3,Good,"1,417",7.8,-1,8.4,8,8.3,8.3,7.8
Royal Raj Hotel,Rājshāhi,"BDT 5,980",4,Excellent,31,8.6,8.5,9.2,9,7.7,8.6,7.5
Green Leaf Guest House ColIege Road Sreemongal,Sreemangal,"BDT 1,329",0,Very Good,2,8,7.5,8.8,10,-1,-1,-1
Ripon,Khulna,BDT 199,0,Good,17,7,6.6,-1,-1,-1,-1,-1
Hotel Pushpo Bilash,Khulna,"BDT 2,871",3,Review score,20,6.4,7.4,6.8,7.6,-1,-1,-1
Hotel Shuktara Dhaka,Dhaka,"BDT 3,773",3,Very Good,609,8.2,-1,8.8,8.2,8.6,8.5,8
Hotel Hill Ambassador,Rāngāmāti,"BDT 2,658",2,Review score,3,5.3,6.7,5,9.2,-1,-1,-1
Hotel Hill Ambassador,Rāngāmāti,"BDT 2,658",2,Review score,3,5.3,6.7,5,9.2,-1,-1,-1
Q Palace,Comilla,"BDT 2,215",3,Review score,4,3.5,6.7,6.7,7.5,-1,-1,-1
CCULB Resort & Convention Hall,Gazipur,"BDT 5,094",0,Very Good,5,8.4,8.1,8.1,-1,-1,-1,-1
Hotel The Enchanted,"Gulshan, Dhaka","BDT 5,532",0,Good,302,7,6.9,7.2,7.2,7.1,8.5,6.9
Hotel Green City International Khulna,Khulna,"BDT 2,250",2,Review score,0,0,-1,-1,-1,-1,-1,-1
Iqbal Manjil Serviced Apartment,Jessore,"BDT 3,987",4,Good,29,7.3,7,8.1,7.3,8.3,7,-1
Hotel Grand Park Barishal,Barisāl,"BDT 6,693",3,Very Good,48,8,8.8,7.9,8.8,8.5,7,8.6
Raffles Inn Faridpur,Faridpur,"BDT 2,592",3,Review score,5,5.4,6.3,6.9,6.9,6.9,-1,-1
CEBF of SERVICEMUSEUM,Bogra,"BDT 3,588",0,Review score,0,0,-1,-1,-1,-1,-1,-1
D' more Sajek Valley Hotel & Resort,Māhmuam,"BDT 6,091",3,Good,3,7.7,7.5,6.7,7.5,-1,-1,-1
Eque Heritage Hotel & Resort,Lakshmanpur Bālāpāra,"BDT 3,788",0,Good,10,7,8.5,-1,-1,-1,-1,-1
Hotel Afford Inn,"Uttara, Dhaka","BDT 3,634",3,Good,376,7.3,-1,8.3,7.3,7.5,7.4,7.5
YJ Homes,Noapara,"BDT 3,295",0,Review score,0,0,-1,-1,-1,-1,-1,-1
GRAND RIVER VIEW HOTEL,Rājshāhi,"BDT 8,638",4,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Valentino,Noākhāli,"BDT 3,765",3,Very Good,2,8,8.8,10,8.8,-1,-1,-1
Mona's Palace.,Silghāt,"BDT 5,537",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Urmee Guest House,Kelātali,"BDT 2,215",2,Review score,0,0,-1,-1,-1,-1,-1,-1
JAKAS Resource Center,Helkunda,"BDT 6,645",3,Exceptional,1,10,10,7.5,7.5,-1,-1,-1
Bono Nibash Hill Resort,Bāndarban,"BDT 3,101",3,Review score,13,5.4,5.6,6,5.2,7.9,-1,-1
Kazi International Residential Hotel,Benāpol,"BDT 3,101",3,Review score,0,0,-1,-1,-1,-1,-1,-1
Annex Suites Bogra - CityCentre,Bogra,"BDT 3,101",3,Review score,37,6.5,6.4,7.2,6.8,8.5,8.5,-1
Dream Square Resort,Gazipur,"BDT 7,177",0,Review score,3,5.3,7.5,7.5,-1,-1,-1,-1
Hotel Shah Nibash Panthapath,Dhaka,"BDT 1,894",2,Review score,11,6.7,6.8,7,6.1,8.4,-1,-1
Hotel Fresh Abasik,Dhaka,"BDT 1,550",3,Review score,2,5,-1,-1,-1,-1,-1,-1
MD TAREQ AZIZ SHAON,Atraighat,"BDT 1,107",0,Review score,0,0,-1,-1,-1,-1,-1,-1
MD TAREQ AZIZ SHAON,Atraighat,"BDT 1,107",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Sea Moon,Kelātali,"BDT 2,658",3,Review score,0,0,-1,-1,-1,-1,-1,-1
SKS Inn,Tulshighāt,"BDT 4,485",4,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Al-Sarwar (Res.),Rājārbāg,"BDT 1,357",2,Review score,28,4.4,5,4.9,5.3,5.2,6.6,4.2
"Hotel Skypark, Sreemangal",Sreemangal,"BDT 1,772",3,Review score,41,6.6,6.6,6.9,6.8,8.7,5.8,-1
Grand Sultan Tea Resort & Golf,Sreemangal,"BDT 16,059",0,Very Good,16,8.1,9.2,8.8,7.2,8.6,10,-1
Hotel Fresh Abasik,Dhaka,"BDT 1,550",3,Review score,2,5,5,5,5,5,-1,-1
Jatra Sonargaon Royal Resort,Āminpur,"BDT 8,648",0,Review score,12,6.4,6,6.9,-1,-1,-1,-1
Nelly's Cottage,Dakshin Nabagrām,"BDT 4,635",0,Very Good,1,8,7.5,-1,-1,-1,-1,-1
HOTEL MOHSIN PLAZA,Sreemangal,"BDT 1,550",0,Review score,22,5.7,5.8,6.5,8.4,10,-1,-1
The Cozy Nest,Bholānāthpur,"BDT 7,974",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Ali Plaza,Sylhet,"BDT 1,661",3,Good,26,7.2,7.7,8.2,7.9,8.1,6.3,-1
Oronner Din Ratri,Sreemangal,"BDT 2,879",0,Exceptional,2,10,10,-1,-1,-1,-1,-1
Hotel Apon Palace,Atgaon,"BDT 1,421",3,Review score,0,0,-1,-1,-1,-1,-1,-1
Paprika Hotel,Maulvi Bāzār,"BDT 3,101",0,Exceptional,2,10,10,-1,-1,-1,-1,-1
Hotel Star International,Rājshāhi,"BDT 2,377",3,Review score,52,5,6.1,6,5.4,6.2,5.8,-1
Hotel Sarina,"Gulshan, Dhaka","BDT 17,946",5,Good,401,7.6,-1,8.4,7.8,8.1,8.2,7.6
Resort Atlantis,Dhalpur,"BDT 5,537",3,Very Good,2,8.5,10,10,10,10,-1,-1
GREEN LEAF GUEST HOUSE,Sreemangal,"BDT 1,329",0,Excellent,6,8.8,8.8,9.2,7.5,-1,-1,-1
Jashore IT Park Hotel and Resort,Jessore,"BDT 3,190",0,Review score,7,6.4,7.9,8.8,-1,-1,-1,-1
Best Western PLUS Maya - Luxury Collection Hotel,Dhaka,"BDT 9,987",4,Very Good,294,8.3,-1,8.9,8.4,8.9,9,8.1
THE ASTERIA HOTEL BOGURA,Bogra,"BDT 2,658",2,Review score,12,5.9,6.6,6.8,6.4,8.2,5,-1
Le Meridien Dhaka,Dhaka,"BDT 33,889",5,Good,75,7.8,-1,8.3,8.1,8.4,8.6,6.5
Nascent Gardenia Baridhara,Dhaka,"BDT 6,101",4,Very Good,27,8.2,8.2,8.3,8.2,8.3,9.1,7.5
Bonochhaya EcoResort,Khagrāchari,"BDT 2,592",0,Wonderful,2,9,10,10,-1,-1,-1,-1
Bonochhaya EcoResort,Khagrāchari,"BDT 2,592",0,Wonderful,2,9,10,10,-1,-1,-1,-1
Mamata Palli Resort,Dhananjaypur,"BDT 7,199",0,Review score,0,0,-1,-1,-1,-1,-1,-1
MD Rasel Mahmud,Mujāti,"BDT 1,300",0,Review score,2,5,10,-1,-1,-1,-1,-1
Renaissance Dhaka Gulshan Hotel,"Gulshan, Dhaka","BDT 17,609",5,Very Good,102,8,-1,8.7,8.7,8.9,9.1,7.1
Shada Pathor Hotel and Resort,Bholāganj,"BDT 3,588",0,Good,10,7.7,7.8,9.2,-1,-1,-1,-1
Six Seasons Hotel,"Gulshan, Dhaka","BDT 17,055",5,Good,135,7.9,8.4,8,8.3,8.4,7.4,8.4
ELORA,Naogaon,"BDT 2,215",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Mitera Home,Chaubāria,"BDT 3,876",0,Review score,0,0,-1,-1,-1,-1,-1,-1
HOTEL STUDiO23,Dhaka,"BDT 3,912",3,Very Good,17,8.5,9,8.7,8.7,7.4,-1,-1
Best Western Plus Maple Leaf,"Uttara, Dhaka","BDT 12,182",4,Good,346,7.9,8.1,8.4,8.4,7.5,8.6,8.2
INNOTEL BATON ROUGE - A Luxury Collection Hotel,"Gulshan, Dhaka","BDT 3,789",4,Good,314,7.2,7.4,7.7,7.6,7.5,8.7,7.3
Restinn Hotel,Maulvi Bāzār,"BDT 2,193",3,Review score,13,6.9,7.3,6.9,6.3,9,2.5,-1
Nirvana Inn,Sylhet,"BDT 4,784",4,Good,126,7.5,8.1,8.1,7.6,8.7,6,-1
Hotel Prince,Rāngāmāti,"BDT 1,661",0,Review score,24,5.8,7.8,-1,-1,-1,-1,-1
Service apartment,Bhola,"BDT 6,096",0,Review score,0,0,-1,-1,-1,-1,-1,-1
"Hotel Park Inn, Khulna",Khulna,"BDT 1,329",1,Review score,16,6.4,6.1,6.6,8.2,-1,-1,-1
Kuakata Hotel & Resort,Kuākāta,"BDT 1,661",0,Exceptional,3,9.7,10,-1,-1,-1,-1,-1
The Peninsula Chittagong Limited,Chittagong,"BDT 7,420",4,Good,211,7.7,-1,8.4,8.1,8.4,8.4,7.5
Sky City Hotel Dhaka,Dhaka,"BDT 6,214",4,Very Good,230,8.1,-1,8.8,8.3,8.6,8.6,8.1
Hotel Royal Beach & Restaurant,Jaliapāra,"BDT 5,482",2,Review score,4,4.3,4.4,5,5,5.6,-1,-1
Tourist Home,"Uttara, Ābdullāpur","BDT 1,772",0,Good,17,7.9,7.6,8.5,-1,-1,-1,-1
Cha luxury Hotel & Restaurant,Sreemangal,"BDT 3,000",3,Review score,34,5.9,6.5,6.5,8.2,-1,-1,-1
The Papillon Hotel Bhola,Bhola,"BDT 4,430",3,Review score,1,6,5,5,7.5,-1,-1,-1
Hotel Heaven Inn,"Uttara, Dhaka","BDT 2,990",0,Good,101,7.4,-1,8.3,7.3,7.7,7.6,7.4
Coventina Lake Suites,"Gulshan, Dhaka","BDT 5,316",0,Very Good,177,8,-1,8.6,8,8.6,8.6,8
Coventina Lake Suites,"Gulshan, Dhaka","BDT 5,316",0,Very Good,177,8,-1,8.6,8,8.6,8.6,8
litoner flat,Kālīchandbāri,"BDT 55,375",5,Review score,0,0,-1,-1,-1,-1,-1,-1
Richmond Hotel Sylhet,Sylhet,"BDT 2,273",3,Review score,180,6.2,6.7,6.8,6.5,8,5.7,-1
Asma-ul-husna apartment,Rājshāhi,"BDT 2,769",0,Good,2,7.5,8.8,-1,-1,-1,-1,-1
Jungle cottage,Sreemangal,"BDT 3,544",0,Review score,28,6.8,7,7,8.4,5.8,-1,-1
Hotel Bengal Inn,"Gulshan, Dhaka","BDT 7,199",4,Good,17,7.6,9.6,8.1,8.2,8.4,7.9,8.4
